id,display_date,date_start,date_end,event,documentary_evidence,documented_finding,historical_significance,evidential_strength,evidential_strength_display,notes
H001,1770,1770,,Birth,Parish records,Born in Lauffen am Neckar,Starting point,5,★★★★★,
H002,1784,1784,,First surviving letter,Letter to Nathanael Köstlin,"Religious doubt, emotional anxiety, concern about his own mental state",Earliest evidence of psychological distress,5,★★★★★,
H003,1786–1789,1786,1789,Maulbronn years,"Letters, school records","Romantic disappointment, uncertainty about entering the ministry, continued poetry",Emotional struggles but no evidence of psychosis,4,★★★★☆,
H004,1789,1789,,Letter to Luise Nast,Personal correspondence,"Describes himself as ""morose, ill-humoured, and sickly""",Self-description of melancholy,5,★★★★★,
H005,1788–1793,1788,1793,Tübinger Stift,"University records, correspondence","Intensive philosophical work, friendships with Hegel, Schelling and Sinclair, support for the French Revolution",Demonstrates high intellectual functioning,5,★★★★★,
H006,1793–1800,1793,1800,Tutor and poet,"Employment records, letters, literary works",Productive literary period despite financial and emotional difficulties,No official medical concern,4,★★★★☆,
H007,1798–1800,1798,1800,"""Hypochondria""",Contemporary correspondence,Episodes described as hypochondria (18th-century melancholy),Historical diagnosis differs from modern psychiatric usage,4,★★★★☆,
H008,1802,1802,,Return from Bordeaux,"Family reports, correspondence",Physically exhausted after journey; learns of Susette Gontard's death,Major documented crisis,4,★★★★☆,
H009,June 1804,1804,,Court librarian in Homburg,Appointment records,Continued employment in public service,Suggests retained functional capacity,5,★★★★★,
H010,Feb. 1805,1805,,Sinclair charged with treason,Court archives,Hölderlin linked indirectly to investigation through friendship,Political context becomes important,5,★★★★★,
H011,April 1805,1805,,Müller's medical assessment,Original Gutachten (Stuttgart State Archives),"First official medical description: ""Raserei,"" multilingual speech, rare lucid intervals",First formal psychiatric document,5,★★★★★,
H012,July 1805,1805,,Sinclair acquitted,Court records,No revolutionary conspiracy established,Removes immediate legal context,5,★★★★★,
H013,Aug.–Sept. 1806,1806,,Decision to institutionalize,"Sinclair's correspondence, guardianship files, sovereign decree",Family and state arrange compulsory confinement,Beginning of state custody,5,★★★★★,
H014,Sept. 1806–May 1807,1806,1807,Autenrieth Clinic,"Prescription book, clinic records, Kerner's notes",Intensive treatment based on diagnosis of mania secondary to scabies,Earliest sustained medical documentation,5,★★★★★,
H015,May 1807,1807,,Declared incurable,Hospital records,Released to Zimmer household with poor prognosis,End of institutional treatment,5,★★★★★,
H016,1807–1843,1807,1843,Zimmer Tower,"Visitors' accounts, poems, financial records",Lived another 36 years writing poetry and receiving visitors,Long survival complicates retrospective diagnosis,4,★★★★☆,
H017,1828,1828,,Mother's death,Probate and inheritance records,Significant inherited wealth preserved,Demonstrates continued legal guardianship and family involvement,5,★★★★★,
H018,1843,1843,,Death,"Death register, funeral records",Dies in Tübingen; funeral attended primarily by Zimmer family,End of documentary record,5,★★★★★,
