id,user_id,user_name,user_date,source_id,source_name,source_date,source_kind,relationship,strength,evidence_level,record_scope,notes
SU001,D001,Georg Friedrich Carl Müller,1805,S011,Müller medical Gutachten / personal examination,1805,primary_document,produced_from,direct,direct,author_or_source_level,Müller's 1805 assessment derives from his personal examination and official Gutachten.
SU002,D002,J. H. F. von Autenrieth,1806–1807,S015,Autenrieth clinic records,1806–1807,primary_document,produced_from,direct,direct,author_or_source_level,Diagnosis and treatment interpretation based on sustained institutional observation.
SU003,D002,J. H. F. von Autenrieth,1806–1807,S016,Autenrieth prescription book,1806–1807,primary_document,documented_in,direct,direct,author_or_source_level,Prescription records document treatment during institutionalization.
SU004,D003,Wilhelm Waiblinger,1820s–1830s,S018,Zimmer years visitor accounts and observations,1807–1843,eyewitness_evidence,based_on,direct,direct,author_or_source_level,"Waiblinger's literary portrait drew on personal visits, conversations, and recollections."
SU005,D004,Wilhelm Lange,1908,D003,Wilhelm Waiblinger,1820s–1830s,earlier_interpretation,uses,explicit,source_summary,author_or_source_level,Waiblinger's memoir is listed among Lange's principal sources.
SU006,D004,Wilhelm Lange,1908,,Published letters,,primary_sources_published,uses,explicit,source_summary,author_or_source_level,The research document identifies published letters as a principal source but does not identify individual letters here.
SU007,D004,Wilhelm Lange,1908,,Poems,,literary_works,uses,explicit,source_summary,author_or_source_level,The research document identifies poems as a principal source without specifying individual works.
SU008,D004,Wilhelm Lange,1908,,Nineteenth-century biographies,,secondary_sources,uses,explicit,source_summary,author_or_source_level,Individual biographies are not specified in the diagnostic summary.
SU009,D005,Karl Jaspers,1922,D004,Wilhelm Lange,1908,earlier_interpretation,uses,explicit,source_summary,author_or_source_level,Lange is explicitly listed among Jaspers's principal sources.
SU010,D005,Karl Jaspers,1922,D003,Wilhelm Waiblinger,1820s–1830s,earlier_interpretation,uses,explicit,source_summary,author_or_source_level,Waiblinger is explicitly listed among Jaspers's principal sources.
SU011,D005,Karl Jaspers,1922,,Published correspondence,,primary_sources_published,uses,explicit,source_summary,author_or_source_level,Individual correspondence items are not specified in the diagnostic summary.
SU012,D005,Karl Jaspers,1922,,Poems,,literary_works,uses,explicit,source_summary,author_or_source_level,Individual poems are not specified in the diagnostic summary.
SU013,D006,Uwe Henrik Peters,c. 1970s–1990s,S011,Müller medical Gutachten,1805,primary_document,uses,explicit,source_summary,author_or_source_level,Müller's report is explicitly listed among Peters's sources.
SU014,D006,Uwe Henrik Peters,c. 1970s–1990s,D002,J. H. F. von Autenrieth,1806–1807,earlier_medical_interpretation,uses,explicit,source_summary,author_or_source_level,Autenrieth is explicitly listed among Peters's sources; the summary does not identify a specific publication.
