id,display_date,date_start,date_end,document_title_or_description,document_type,author_or_creator,recipient_or_subject,archive_or_location,reference_or_shelfmark,related_timeline_ids,evidence_category,what_it_documents,source_status,notes
S001,1770,1770,,Parish record of Hölderlin's birth,Parish record,,Friedrich Hölderlin,,,H001,Government / civil record,Born in Lauffen am Neckar,Primary,Specific parish record details are not given in the source document.
S002,1784,1784,,Letter to Nathanael Köstlin,Personal letter,Friedrich Hölderlin,Nathanael Köstlin,,,H002,Personal letters,"Religious doubt, emotional anxiety, and concern about his own mental state",Primary,Identified in the source document as the earliest surviving letter.
S003,1786–1789,1786,1789,Maulbronn letters and school records,Correspondence and school records,,Friedrich Hölderlin,,,H003,Personal letters; institutional records,"Romantic disappointment, uncertainty about entering the ministry, and continued poetry",Primary document group,The source document groups multiple records together and does not identify each individual item.
S004,1789,1789,,Letter to Luise Nast,Personal letter,Friedrich Hölderlin,Luise Nast,,,H004,Personal letters,"Self-description as a ""morose, ill-humoured, and sickly friend""",Primary,
S005,1788–1793,1788,1793,Tübinger Stift university records and correspondence,University records and correspondence,,Friedrich Hölderlin,,,H005,Institutional records; correspondence,"Intensive philosophical work, friendships with Hegel, Schelling and Sinclair, and support for the French Revolution",Primary document group,
S006,1793–1800,1793,1800,"Employment records, letters, and literary works from tutor and poet period",Mixed document group,,Friedrich Hölderlin,,,H006,Employment records; personal letters; literary works,Productive literary period despite financial and emotional difficulties,Primary document group,
S007,1798–1800,1798,1800,"Contemporary correspondence describing ""hypochondria""",Contemporary correspondence,,Friedrich Hölderlin,,,H007,Contemporary correspondence,"Episodes described by contemporaries as ""hypochondria""",Primary document group,The source document explicitly cautions that late eighteenth-century hypochondria differs from modern hypochondriasis.
S008,1802,1802,,Family reports and correspondence concerning return from Bordeaux,Family reports and correspondence,,Friedrich Hölderlin,,,H008,Contemporary correspondence,Physical exhaustion after the journey and the period surrounding Susette Gontard's death,Primary / contemporary testimony,The source document notes that this episode should distinguish what is documented from what is inferred.
S009,June 1804,1804,,Court librarian appointment record,Appointment record,,Friedrich Hölderlin,,,H009,Government records,Appointment as court librarian in Homburg,Primary,
S010,February 1805,1805,,Sinclair treason investigation court records,Court records,,Isaac von Sinclair; Friedrich Hölderlin,,,H010; H012,Court record,"Sinclair's treason charge, Hölderlin's indirect connection through friendship, and Sinclair's later acquittal",Primary document group,
S011,April 1805,1805,,Müller medical Gutachten,Medical report / legal medical assessment,Georg Friedrich Carl Müller,Friedrich Hölderlin,Stuttgart State Archives,StA 7.2 Nr. 337,H011,Medical report,"""Raserei,"" multilingual speech, and rare lucid intervals",Primary,"The source document stresses that the Gutachten was prepared in the context of a treason investigation, not for therapeutic treatment."
S012,August–September 1806,1806,,Sinclair correspondence concerning institutionalization,Contemporary correspondence,Isaac von Sinclair,Friedrich Hölderlin,,,H013,Contemporary correspondence,Arrangements surrounding compulsory confinement,Primary,The source document specifically identifies an August 1806 Sinclair letter for closer analysis.
S013,1806,1806,,Sovereign decree concerning institutionalization,Sovereign decree,,Friedrich Hölderlin,,,H013,Government archive,State authorization and administrative process surrounding compulsory confinement,Primary,"The source document emphasizes the role of guardian, sovereign decree, jurisdiction, and transport."
S014,1806,1806,,Nürtingen guardianship files,Guardianship records,,Friedrich Hölderlin,Nürtingen guardianship files,,H013; H016,Government archive,Guardianship and administrative arrangements,Primary document group,The source document asks explicitly what survives and what does not; no individual files are identified.
S015,September 1806–May 1807,1806,1807,Autenrieth clinic records,Hospital / medical records,J. H. F. von Autenrieth and clinic staff,Friedrich Hölderlin,Tübingen clinic,,H014; H015,Hospital record,"Institutional observation, diagnosis, treatment, duration, and discharge",Primary document group,
S016,1806–1807,1806,1807,Autenrieth prescription book,Prescription book,Autenrieth clinic,Friedrich Hölderlin,Tübingen clinic,,H014,Medical document,Treatments administered during institutionalization,Primary,
S017,1806–1807,1806,1807,Kerner notes relating to Hölderlin's treatment,Clinical / eyewitness notes,Justin Kerner,Friedrich Hölderlin,,,H014,Contemporary observation,Observations associated with Hölderlin's treatment at the Autenrieth clinic,Primary / eyewitness,
S018,1807–1843,1807,1843,"Zimmer years visitor accounts, poems, and financial records",Mixed document group,,Friedrich Hölderlin,,,H016,Eyewitness testimony; literary works; financial archive,"Life in the Zimmer household, continued poetry, visitors, and material circumstances",Mixed primary / eyewitness document group,
S019,1828,1828,,Probate and inheritance records following Hölderlin's mother's death,Probate and inheritance records,,Friedrich Hölderlin,,,H017,Financial archive,"Inherited wealth, continued guardianship, and family involvement",Primary,
S020,1843,1843,,Death register and funeral records,Death and funeral records,,Friedrich Hölderlin,,,H018,Government / civil record,Death in Tübingen and funeral attendance primarily by the Zimmer family,Primary,
