id,author,year,title,publication,volume,issue,pages,doi,work_type,role_in_project,holderlin_specific,diagnostic_genealogy,notes
B001,Pierre Bertaux,1993,Was Hölderlin Mentally III,Philosophy Today,37,4,353,,article,Hölderlin historical/archival critique,yes,yes,"Reflections describes Bertaux as casting serious doubt on conventional psychiatric accounts and emphasizing political, biographical, and archival context."
B002,Osamu Muramoto,2014,"Retrospective diagnosis of a famous historical figure: ontological, epistemic, and ethical considerations","Philosophy, Ethics, and Humanities in Medicine",9,1,,10.1186/1747-5341-9-10,article,Conceptual literature on retrospective diagnosis,no,no,"Used for ontological, epistemic, and ethical problems of retrospective diagnosis."
B003,G. von Bassermann-Jordan,2025,"“Wenn dunkel mir ist der Sinn,/Den Kunst und Sinnen hat Schmerzen/Gekostet von Anbeginn” (“When Dark Are My Mind and Heart/Which Paid from the Beginning/In Grief for Thought and Art”): Hölderlin in the “Hölderlin Tower”—Contemporary and Modern Diagnoses of His Illness, and Literary (Self-)Therapy",Humanities (Switzerland),14,5,,10.3390/h14050101,article,Recent Hölderlin diagnostic literature,yes,yes,Reflections notes that the paper treats Hölderlin's mental illness as a starting point and discusses contemporary and modern diagnoses.
B004,Valentina Bizzari; Francesca Brencio,2022,Psychiatric Diagnosis as a Political and Social Device: Epistemological and Historical Insights on the Role of Collective Emotions,Humanistic Psychologist,52,1,70–82,10.1037/hum0000307,article,"Conceptual framework: diagnosis as epistemological, political, and social device",no,no,Supports analysis of diagnosis as historically situated and theory-laden.
B005,Giovanni Stanghellini,2023,Logics of Discovery II: Lessons from Poetry—Parataxis as a Method That Can Complement the Narrative Compulsion in Vogue in Contemporary Mental Health Care,Brain Sciences,13,10,,10.3390/brainsci13101368,article,"Hölderlin, poetry, phenomenological psychiatry, and interpretive authority",partly,yes,Reflections records the uncited claim that Hölderlin was 'probably schizophrenic' and uses it as an example of a diagnostic premise becoming self-authorizing.
B006,George Ikkos; A. Morgan,2026,Psychiatric poetics: mental healthcare and Giovanni Stanghellini’s ‘Logics of Discovery’,BJPsych Bulletin,50,1,72–77,10.1192/bjb.2024.115,article,Recent psychiatric/phenomenological reception,partly,yes,Reflections states that Ikkos & Morgan begin with the premise that Hölderlin experienced severe mental disorder and cite Ikkos & Stanghellini (2022) for schizophrenia.
B007,George Ikkos; Giovanni Stanghellini,2022,"Sensibility and schizophrenia: Wilhelm Waiblinger on Friedrich Hölderlin’s life, poetry and madness-psychiatry in literature",British Journal of Psychiatry,221,6,739,10.1192/bjp.2022.81,article,Hölderlin diagnostic genealogy / Waiblinger reception,yes,yes,Reflections identifies this as the source cited by Ikkos & Morgan (2026) for the schizophrenia framing and notes its reliance on Waiblinger's 1830 memoir.
B008,R. Horowski,2017,The “Madness” of Friedrich Hölderlin: an iatrogenic intoxication,Journal of Neural Transmission,124,6,761–763,10.1007/s00702-017-1689-8,article,Alternative medical interpretation of Hölderlin,yes,yes,Reflections summarizes Horowski's argument that some later symptoms may be consistent with consequences of calomel poisoning.
B009,A. C. Adler,2024,"Giorgio Agamben. Hölderlin’s Madness: Chronicle of a Dwelling Life, 1806–1843 (The Italian List)",Seminar,60,3,257–261,10.3138/seminar.60.3.rev001,book review,Reception of Agamben's non-psychiatric/philosophical interpretation,yes,no,Review discussed in Reflections as questioning Agamben's explanatory claim about Hölderlin honoring the diagnosis that saved him from arrest.
B010,Jerome C. Wakefield,2010,False positives in psychiatric diagnosis: implications for human freedom,Theoretical Medicine and Bioethics,31,1,5–17,,article,"Conceptual literature on diagnosis, freedom, and social consequences",no,no,Used to frame the social ramifications and authority of psychiatric diagnosis.
B011,U. Kistner,2006,Foucault’s Hölderlin,JLS/TLW,22,,,,article,Hölderlin philosophical/literary reception,yes,no,Citation recorded in Reflections; no further bibliographic detail supplied there.
B012,Eric J. Engstrom,2003,Clinical Psychiatry in Imperial Germany: A History of Psychiatric Practice,Cornell Studies in the History of Psychiatry / Cornell University Press,,,,,book,Historical framework: psychiatric professionalization and jurisdiction,no,no,"Reflections uses Engstrom for psychiatry's construction of professional jurisdiction, disciplinary institutions, observation, and scientific legitimacy."
